"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",51.1311236650416,-0.177043359431114,0.270052976226308,-0.655587514365143,0.512089561159541,0.670645769239765
"WASH9P",20.2227555123379,-0.641528848115237,0.274774371102606,-2.33474776246755,0.0195566015457615,0.0632305686469305
"LOC729737",36.4257039192034,-0.786397499145898,0.324169069273299,-2.42588690188361,0.0152710284513242,0.0523723020024379
"LOC102723897",56.7249485439045,-0.236348580831355,0.266049079416439,-0.888364588029284,0.374344667381562,0.547899108447911
"LOC112268260",6.86004826929446,-0.40053275825392,0.355382772736944,-1.12704607251853,0.259723002026318,0.427111894124249
"LOC100132287",27.7097100023156,-0.622516219692271,0.332335456530757,-1.87315619642486,0.0610468191171361,0.150129428681907
"MIR12136",338.439175684287,-0.245448820183527,0.294918493558079,-0.83225984651651,0.405262289978474,0.57687124349996
"OR4F16",8.37747052339616,-0.257969838676927,0.392686330983526,-0.656936130246279,0.511221985358478,0.670085222521881
"100133331",27.1054934146745,-0.650767230096082,0.301915824467039,-2.15545916231737,0.0311259210089399,0.0905598265267617
"107984841",11.9600968357669,-0.428558085878165,0.292899781730907,-1.46315604383717,0.143424685436324,0.280016180666581
"107984847",13.7823278828346,-0.468548600708212,0.347796436464476,-1.34719206864579,0.177918381721554,0.327025836508211
"LOC100288069",27.9678966526571,-0.586739329464445,0.267759291817266,-2.19129399948095,0.0284305240155744,0.0844519592817529
"LINC01409",47.2322568575615,-0.697471278429037,0.226381526282238,-3.08095492544509,0.00206337882152379,0.0106990865695392
"FAM87B",9.69563054899861,-0.0267662755091076,0.361405821700052,-0.0740615504841597,0.940961409472503,0.967585149895284
"LINC00115",9.79015417312806,0.312697433235023,0.348638849756709,0.896909318778536,0.369767307118358,0.543596544188234
"LINC01128",60.3632466706742,-0.377105068986278,0.217828652429714,-1.73120048616174,0.0834160126937311,0.189366981430273
"LINC02593",6.06953462691215,0.101717003526623,0.888787858221637,0.114444636687709,0.908885331454519,0.948480621143878
"LOC107985728",8.88578519521565,0.190382345181387,0.697735681165551,0.272857401908067,0.784962832712486,0.872242550693306
"SAMD11",28.7152546306892,-0.27388154701988,0.300742613915685,-0.910684200865076,0.362461790946231,0.536283731064421
"NOC2L",116.560390696193,-0.397651837921038,0.210164517153877,-1.89209788267868,0.0584779403865639,0.145474833499123
"KLHL17",15.4817697972736,0.513196873922039,0.30355569800238,1.69061848385404,0.0909096920997305,0.201419538088799
"PLEKHN1",9.42850693171729,2.26941370095898,0.533427543110059,4.25439917805434,2.09611078042932e-05,0.00024086614235052
"PERM1",2.21001017263249,0.953419019737168,0.735387317061113,1.29648553574107,0.194808260109946,0.348733706361451
"HES4",22.7844453602185,-0.451592707265509,0.346162853232938,-1.30456720889582,0.192040260128682,0.345280155079311
"ISG15",68.0484626780016,2.04449743713151,0.404821297368858,5.05037025082364,4.40954539704248e-07,8.97947303245241e-06
"AGRN",350.212816614849,-0.11766055033848,0.242705401037699,-0.484787523620886,0.627827073755424,0.76374670464436
"LOC100288175",3.81912034779776,0.4372140509729,0.589769069396422,0.741330927070067,0.458492814102416,0.625559462836785
"LOC105378948",6.6775169901687,0.303009942279047,0.46821606601892,0.647158361855108,0.517529456517867,0.675588343288536
"RNF223",4.68605712511469,2.07017630225832,0.964544849190292,2.14627272541673,0.0318512263085701,0.0921622967969647
"C1orf159",20.3072051371948,0.398945381573558,0.279708012182228,1.42629229123994,0.153783988840287,0.294109110071031
"LINC01342",2.36612722609339,-0.951191290478135,0.967428340865932,-0.983216275870869,0.325501005982499,0.499011340327485
"MIR429",2.94409854102661,-0.482980360069465,0.685465659958493,-0.704601832422518,0.48105805784031,0.64578042660817
"TTLL10-AS1",2.95183777704057,-0.290228379458035,0.680161734955563,-0.42670495051739,0.669594244328174,0.795027492051643
"TTLL10",4.07220312517568,-0.404784110956438,0.598241014999345,-0.676623803463026,0.498644672424181,0.660171450927398
"TNFRSF18",3.44985664035713,2.87911515347246,0.963252161371402,2.98895270514982,0.00279935459334423,0.0135760809802449
"TNFRSF4",5.14889739682831,1.61383672334767,0.65234671981152,2.47389413380349,0.0133649294164622,0.04725827651674
"SDF4",269.800180698714,-0.244128787542335,0.235772289865301,-1.03544308655528,0.300462032635712,0.472119789564534
"B3GALT6",29.052008164866,-0.187568301448463,0.244594120533517,-0.766855315407143,0.443167543780962,0.611714957509098
"C1QTNF12",5.22376060819842,1.21331404080125,0.712594119475755,1.70267198064147,0.0886294712431603,0.197573228853001
"UBE2J2",98.6716791400376,0.0476065068669322,0.147384817363377,0.323008215626161,0.746689020129944,0.846451384862273
"LINC01786",4.04754572680041,-0.124104424699196,0.497654150122082,-0.249378860135601,0.803067735864032,0.883815711275545
"SCNN1D",11.8171657071009,-0.178549610786903,0.509036227307513,-0.350760125131604,0.72576831434436,0.833081058383124
"ACAP3",90.8504998342546,0.113945156403235,0.27260425738141,0.417987442667891,0.675956298389529,0.798822600991276
"PUSL1",29.5656287582275,-0.233386393583478,0.229676493210645,-1.01615272125141,0.309556666477654,0.481977427166675
"INTS11",122.736288971312,-0.199643246563385,0.225454422144114,-0.885514884404309,0.37587899541961,0.549304100940033
"CPTP",35.1402471514266,-0.309925288398031,0.347996925179321,-0.890597778237058,0.373144991566726,0.546832158880661
"TAS1R3",9.43636369417519,0.00212463409777722,0.328910960688104,0.00645960260288177,0.994846018657168,0.997895322202525
"DVL1",118.695120064615,-0.462146608994646,0.251289510802958,-1.8391002772775,0.0659004382534892,0.158899697475291
"MXRA8",136.268962818177,0.884506774723082,0.373894054443872,2.36566151349663,0.0179978909572927,0.0592576160397757
