"Sample","MEblue","MEcyan","MEpink","MEblack","MEgreen","MEtan","MEred","MEsalmon","MEmagenta","MEbrown","MEyellow","MEpurple","MEgreenyellow","MEturquoise","MEgrey"
"1",0.209178618896468,0.0497886754352301,0.0203186149662212,-0.0821711610557837,0.0308313416892513,0.0923193783609571,0.0945224377084748,-0.0809507991954865,-0.0314827486619904,-0.171340033108495,-0.148594224578619,0.0432034786431217,-0.119535051551069,-0.12926543326952,0.133498209972678
"2",-0.188070986923529,-0.232990544201001,0.0107361236933707,0.0884282526882096,-0.029306297586485,-0.0478315177636488,-0.124739907064105,-0.0751303263440721,-0.0741879202673924,0.127155626590757,0.0421000995476279,0.189013848372023,0.126231764686511,0.26679094381397,0.0957994807184847
"3",0.251737446891427,0.091268089542158,0.0957501587139663,-0.0986073342903748,-0.0414768577079028,0.10058828248049,-0.219372833876006,-0.0677586802403021,-0.0347988254388494,-0.203530907138668,-0.139906015063638,-0.123477955942111,-0.128663694664223,-0.171817100413387,0.105145589439452
"4",-0.15804257898492,-0.38906960571849,-0.0952549740676929,-0.0818340083034678,0.0177249850465274,-0.0434315790900648,-0.279245891545212,-0.0618920807859532,-0.0762869234378704,0.18342252419462,-0.103358061589661,0.29451008122773,0.415105186104254,0.206437823926098,-0.00574006811095333
"5",0.16895287084331,-0.200123922453646,0.138184330086117,0.0917327709913343,0.265787413356066,0.195056201255689,-0.247630778760497,-0.0125671854573629,-0.00639267202903734,-0.14692737881233,-0.116023756151507,-0.231408806070108,-0.0953662686639616,-0.0127511756846883,-0.125150517084503
"6",-0.173840365513778,-0.154083845734411,-0.196669606888834,0.188717938780828,0.11959199019684,-0.0757086034780456,-0.215496677044672,-0.0674221152153896,-0.0403933214312072,0.104529216491819,0.0669485606800036,-0.0697256293470057,0.134589699850528,0.223692296910114,-0.152178936428301
"7",0.219508293855544,0.0570739406543686,-0.0108057350100004,-0.121524897265833,-0.116966566943516,0.120256015437615,0.0360386131826457,-0.0801893051327893,-0.0746190818371737,-0.221757167903845,-0.178569873720208,-0.0710506543564381,-0.138650830454238,-0.228563634170528,0.182991264826282
"8",-0.246762063964044,-0.159774984182617,-0.256540514272325,-0.133579427902789,-0.134149467242891,-0.279994546095863,-0.154794969262,-0.125850236016332,-0.0904919750959253,0.252485004172671,-0.118227965361924,0.0461605532526351,0.674315279891927,0.161274401380531,-0.0669892620667037
"9",0.307664445647294,0.0371809536227212,0.0600298786404937,-0.00266968809607538,0.00678556962630357,0.155087216909588,-0.247911723663572,-0.0963424946910395,-0.0277982321377336,-0.251359393160286,-0.139322127960975,-0.187473301533043,-0.156957514955739,-0.245917970391893,0.126589665766165
"10",-0.121996763240254,-0.168460856243244,0.0952936508262325,-0.00268455093979369,0.0881101171073131,0.0694645719125537,-0.2627932911192,-0.0123475495714105,-0.00164096907084157,0.0797203460058222,0.103931931240844,0.114526694554088,0.0492820992203618,0.175067149976107,0.108929161025999
"11",0.243266395874841,0.123901134517253,0.0878599453475634,-0.075459307106506,-0.0456129413227326,0.0541731867779784,-0.0945151556583466,-0.102319915006425,-0.0385865714904218,-0.222596560518728,-0.127582966401766,-0.209898127460511,-0.131376212521145,-0.209995598076065,0.204496846724647
"12",-0.187396598058706,-0.144513475283266,0.286771623035203,-0.15278580631181,-0.116970661883289,-0.037642427926139,0.0471487492161771,5.84481239400622e-05,-0.0631875775931779,0.175247806223351,0.0933159033459858,0.0069302130185363,0.0886348480536562,0.184657007145672,0.244239194318674
"13",-0.00427834179937673,-0.258042164895198,0.0256368267008823,-0.0703674777436341,-0.0116978062670589,0.0614182320874743,-0.0483805841834257,-0.062232777924951,-0.0713567816612032,-0.0521257743203367,-0.11414874034688,-0.111042344702231,-0.0537831064257142,0.171037496439431,0.123434356152907
"14",-0.175178302487587,-0.133810311221825,-0.182859350150589,-0.0796810030512918,-0.185108532288043,-0.36794047847998,0.0906700449994844,-0.0905842427746268,0.136220301461948,0.339831176970401,0.40803610376505,-0.205690151430787,-0.0289876603587976,-0.0736927660324657,0.188924890292478
