"PC1","PC2","group","name","condition","sizeFactor"
-12.5353525757964,1.60406629964988,"control","SRR26436341","control",0.646659301211732
-9.93390042164893,4.32172269425438,"control","SRR26436342","control",1.04927364561402
-10.7478901856819,6.42094046061342,"control","SRR26436343","control",0.696825795104669
24.7058324329384,5.52538921826555,"covid19","SRR26436344","covid19",1.4671441347639
25.1738481778632,1.98613530525092,"covid19","SRR26436345","covid19",0.84367719096791
-12.6475934104797,6.93501372607338,"control","SRR26436346","control",0.945355500493417
4.90211962743939,-14.8824559111581,"covid19","SRR26436347","covid19",1.94780111005474
-8.91706364463413,-11.9108117929494,"covid19","SRR26436348","covid19",0.973664335806248
