"","GSM3747758","GSM3747759","GSM3747760","GSM3747761","GSM3747762","GSM3747763","GSM3747764","GSM3747765","GSM3747766","GSM3747767","GSM3747768","GSM3747769","GSM3747770","GSM3747771","GSM3747772","GSM3747773","GSM3747774","GSM3747775","GSM3747776","GSM3747777","GSM3747778","GSM3747779","GSM3747780","GSM3747781","GSM3747782","GSM3747783","GSM3747784","GSM3747785","GSM4490231","GSM4490232"
"WASH7P",42.151952428003,45.4984831561123,141.915832645063,42.2268524691635,76.8386395664304,74.5490342494491,33.3846414522947,35.3701465213574,97.0535550834391,71.3718109005848,69.948252079115,12.3097006131081,43.4261899463198,58.9148280046942,60.3367416290442,60.0306819207806,40.144519445413,31.9370428978608,22.951485553548,55.0675105347248,28.879977662789,35.8004265994315,50.7329295567353,38.8553106137208,26.389029501446,24.2147449958505,53.0686388438298,20.1859107607463,33.4546823344218,106.924157985771
"WASH9P",15.0542687242868,10.1598554620445,28.0097038115257,7.5791786483114,35.4639874921986,39.6537416220474,20.0307848713768,9.5081039035907,35.2922018485233,29.3134223341688,44.9667334794311,6.7143821526044,31.2668567613503,15.5469685012387,28.5805618242841,25.0127841336586,20.0722597227065,9.12486939938879,18.1195938580642,12.1148523176395,14.4399888313945,15.9724980212848,19.0248485837758,16.8179702656404,20.0192637597176,22.652503383215,31.5095043135239,7.26692787386866,5.88214194890933,11.5119075203659
"LOC729737",19.0687403840966,17.227581000858,50.4174668607462,6.49643884140977,39.4044305468874,105.478952714646,34.4974628340379,19.7768561194687,44.1152523106542,35.6859054502924,74.9445557990518,7.83344584470513,42.5576661473934,28.6391525022819,106.383202345946,45.0230114405854,26.7630129636086,11.406086749236,24.1594584774189,18.7229535818064,16.8466536366269,25.3356865165208,95.1242429188788,18.5577602931204,55.5079586064898,55.4595772485607,34.8262942412633,8.88180073472836,9.19084679517083,14.4386636696114
"LOC102723897",42.151952428003,42.8480860790572,151.252400582239,55.2197301519831,85.7046364394801,94.3759050604728,36.7231055975242,36.5111189897883,104.111995453144,76.4697973934837,79.9408595189885,12.3097006131081,52.1114279355838,67.9157045054113,71.4514045607103,65.0332387475123,43.489896065864,31.9370428978608,31.4072960206446,58.3715611668083,31.2866424680214,40.2066329501308,50.7329295567353,37.6954505954008,38.21859445037,28.901469833757,72.969378410266,25.0305293433254,31.6165129753876,105.753455526073
"LOC112268260",11.039797064477,10.1598554620445,9.33656793717523,3.24821942070489,11.8213291640662,7.93074832440948,3.33846414522947,0.380324156143628,8.82305046213083,5.73523480451128,17.4870630197787,5.59531846050367,11.2908093860431,3.27304600026079,4.76342697071402,6.00306819207806,3.34537662045108,4.5624346996944,13.2877021625804,9.91215189625047,9.62665922092966,7.71086111372371,6.34161619459192,5.21937008244011,3.63986613813048,10.9356912884486,3.31678992773936,4.03718215214926,1.1029016154205,2.53652199601282
"LOC100132287",16.0578866392392,9.27638976969279,31.7443309863958,7.5791786483114,29.5533229101655,57.1013879357483,18.9179634896337,14.4523179334579,42.350642218228,27.4016773993317,44.9667334794311,5.59531846050367,27.7927615656447,17.1834915013691,69.8635955704723,34.0173864217757,23.4176363431576,14.8279127740068,14.4956750864513,33.0405063208349,21.6599832470917,17.6248254027971,69.7577781405111,23.7771303755605,41.8584605885005,39.0560403158878,43.1182690606117,6.45949144343881,5.5145080771025,22.8286979641154
"MIR12136",157.568012647535,46.381948848464,468.695710446196,46.0164417933192,226.575475644602,503.602518600002,203.646312858998,123.225026590536,305.277545989727,507.886904355055,1626.29686083942,914.275036446299,262.294187275772,530.233452042248,163.544325994515,105.053693361366,200.722597227065,209.871996185942,84.5581046709661,70.4864134844478,315.273089485446,259.966174691257,215.614950616125,151.361732390763,449.523468059114,263.237711729084,160.864311495359,171.176523251128,291.533660342819,1118.41108316504
"OR4F16",9.03256123457207,14.577183923803,3.73462717487009,1.62410971035244,7.88088610937748,14.2753469839371,6.67692829045895,1.14097246843088,15.8814908318355,8.9214763625731,9.99260743987357,10.0715732289066,16.5019521796015,4.09130750032598,1.58780899023801,6.00306819207806,0,5.70304337461799,10.8717563148385,9.91215189625047,12.0333240261621,7.71086111372371,19.0248485837758,3.47958005496007,8.18969881079357,26.5581074148037,8.29197481934841,2.42230929128955,2.205803230841,2.92675614924556
"100133331",20.0723582990491,9.27638976969279,39.213585336136,10.2860281655655,27.5831013828212,61.066762097953,16.6923207261474,14.0719937773142,44.1152523106542,27.4016773993317,47.4648853393994,3.3571910763022,19.9760473753071,18.8200145014995,63.5123596095203,32.016363691083,26.7630129636086,14.8279127740068,20.5355397058061,28.6351054780569,21.6599832470917,19.8279285781467,57.0745457513273,19.7176203114404,36.3986613813048,29.6825906400748,34.8262942412633,9.68923716515821,13.234819385046,25.3652199601282
"107984841",8.02894331961962,6.62599269263771,14.9385086994804,3.24821942070489,18.7171045097715,26.1714694705513,12.2410351991747,8.74745559130345,21.175321109114,10.8332212974102,4.99630371993678,3.3571910763022,14.7649045817487,9.81913800078236,23.8171348535701,13.0066477495025,6.69075324090216,6.84365204954159,8.45581046709662,9.91215189625047,9.62665922092966,12.6678432582604,19.0248485837758,6.37923010076013,24.5690964323807,17.9657785453084,18.2423446025665,5.65205501300896,3.3087048462615,8.97538552435305
"107984847",11.039797064477,5.30079415411017,18.6731358743505,6.49643884140977,15.761772218755,25.3783946381103,11.1282138174316,7.22615896672893,37.0568119409495,12.7449662322473,7.49445557990518,1.11906369210073,13.0278569838959,3.27304600026079,25.4049438438081,22.0112500376195,10.0361298613532,10.2654780743124,9.66378339096756,18.7229535818064,16.8466536366269,9.91396428907334,6.34161619459192,5.21937008244011,26.389029501446,39.0560403158878,19.9007395664362,4.84461858257911,2.205803230841,10.9265562905168
