"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"WASH7P",51.1311236650416,-0.147776792635971,0.2599037539237,0.512089561159541,0.670645769239765
"WASH9P",20.2227555123379,-0.562703297162627,0.274560584621823,0.0195566015457615,0.0632305686469305
"LOC729737",36.4257039192034,-0.659245906906605,0.336292169570422,0.0152710284513242,0.0523723020024379
"LOC102723897",56.7249485439045,-0.200430159419014,0.257598026856126,0.374344667381562,0.547899108447911
"LOC112268260",6.86004826929446,-0.311685795494776,0.328266738050034,0.259723002026318,0.427111894124249
"LOC100132287",27.7097100023156,-0.50729768570433,0.334773583082515,0.0610468191171361,0.150129428681907
"MIR12136",338.439175684287,-0.204270474701387,0.286788555077973,0.405262289978474,0.57687124349996
"OR4F16",8.37747052339616,-0.184637831106195,0.352303111807585,0.511221985358478,0.670085222521881
"100133331",27.1054934146745,-0.553453151778953,0.304096466779572,0.0311259210089399,0.0905598265267617
"107984841",11.9600968357669,-0.361650206148505,0.280304571840754,0.143424685436324,0.280016180666581
"107984847",13.7823278828346,-0.366077791037222,0.333714428166379,0.177918381721554,0.327025836508211
"LOC100288069",27.9678966526571,-0.514321194634676,0.267447280548575,0.0284305240155744,0.0844519592817529
"LINC01409",47.2322568575615,-0.641115515273838,0.229181632466429,0.00206337882152379,0.0106990865695392
"FAM87B",9.69563054899861,-0.0195724419405134,0.326195248338275,0.940961409472503,0.967585149895284
"LINC00115",9.79015417312806,0.242441181573353,0.32307763129207,0.369767307118358,0.543596544188234
"LINC01128",60.3632466706742,-0.346621616962883,0.214670953115995,0.0834160126937311,0.189366981430273
"LINC02593",6.06953462691215,0.120592105321726,0.589093275786862,0.908885331454519,0.948480621143878
"LOC107985728",8.88578519521565,0.10693463326655,0.528225248269549,0.784962832712486,0.872242550693306
"SAMD11",28.7152546306892,-0.221840523922784,0.28861089669637,0.362461790946231,0.536283731064421
"NOC2L",116.560390696193,-0.362265735278914,0.208700469628648,0.0584779403865639,0.145474833499123
"KLHL17",15.4817697972736,0.430430006490238,0.294764774761701,0.0909096920997305,0.201419538088799
"PLEKHN1",9.42850693171729,2.00290264042712,0.607483844378368,2.09611078042932e-05,0.00024086614235052
"PERM1",2.21001017263249,0.563354162986172,0.680334652422121,0.194808260109946,0.348733706361451
"HES4",22.7844453602185,-0.352115109939921,0.333924989240699,0.192040260128682,0.345280155079311
"ISG15",68.0484626780016,1.86837230557261,0.469004769822186,4.40954539704248e-07,8.97947303245241e-06
"AGRN",350.212816614849,-0.101212317994341,0.237003253546556,0.627827073755424,0.76374670464436
"LOC100288175",3.81912034779776,0.225335292297592,0.476646234159539,0.458492814102416,0.625559462836785
"LOC105378948",6.6775169901687,0.19228583988158,0.402047816816879,0.517529456517867,0.675588343288536
"RNF223",4.68605712511469,1.10686578291602,1.68375272449281,0.0318512263085701,0.0921622967969647
"C1orf159",20.3072051371948,0.341742527277605,0.269450701639662,0.153783988840287,0.294109110071031
"LINC01342",2.36612722609339,-0.128430297464073,0.59924158406711,0.325501005982499,0.499011340327485
"MIR429",2.94409854102661,-0.150918347360365,0.516743674318373,0.48105805784031,0.64578042660817
