Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR26436342_2 - polya	(1, 0.00880135144569246)	(2, 0.014137014928350209)	(3, 0.016609218461472366)	(4, 0.021691716027627306)	(5, 0.025502630240438577)	(6, 0.02918504357138857)	(7, 0.03296527100644192)	(8, 0.04156715839670792)	(9, 0.052434113570230145)	(10, 0.07225278540045861)	(15, 0.10807154315366481)	(20, 0.13783042946912644)	(25, 0.1638144585356423)	(30, 0.18769759407990683)	(35, 0.21213769464047755)	(40, 0.2381447387903119)	(45, 0.26515293906449827)	(50, 0.29425090890399874)	(55, 0.3274555367769524)	(60, 0.3522776877206092)	(65, 0.3803626103093764)	(70, 0.41138694262263015)	(75, 0.44251330847192893)	(80, 0.4705591054190547)	(85, 0.5127093125931632)	(90, 0.5416381215702731)	(95, 0.5694817693689187)	(100, 0.5911627450243309)	(105, 0.6128540774672361)	(110, 0.6365776417671595)	(115, 0.6611351192526542)	(120, 0.6851252749343495)	(125, 0.7128082007344879)	(130, 0.7403660779152631)	(135, 0.7672415578756464)	(140, 0.7803091385991332)
SRR26436342_2 - polyg	(1, 0.10352376268994157)	(2, 0.10636037170893899)	(3, 0.1065425744518766)	(4, 0.10671326965315503)	(5, 0.10695876387521835)	(6, 0.10714288454176586)	(7, 0.10737111745134036)	(8, 0.10774511255526496)	(9, 0.10831857171461604)	(10, 0.10950461567495953)	(15, 0.1110013632601019)	(20, 0.11247739727025767)	(25, 0.11395266411096952)	(30, 0.11554876013910316)	(35, 0.11730481099629994)	(40, 0.11899066584937548)	(45, 0.12082496798985494)	(50, 0.12273905575250499)	(55, 0.12486411511224071)	(60, 0.1273742935328383)	(65, 0.13011845863384)	(70, 0.1336666173120991)	(75, 0.13755156337625135)	(80, 0.14240812954116364)	(85, 0.14750597049619754)	(90, 0.15356507476449816)	(95, 0.15978375027713995)	(100, 0.16640365540896654)	(105, 0.1740837887123291)	(110, 0.18306772648568118)	(115, 0.19332017893460113)	(120, 0.20460984447173863)	(125, 0.2180878608477376)	(130, 0.23495446465765446)	(135, 0.25539147505970494)	(140, 0.27070724583868117)
SRR26436343_1 - illumina_universal_adapter	(1, 0.0004344887181683395)	(2, 0.00044279105036263897)	(3, 0.0004760003791398369)	(4, 0.0005839306976657301)	(5, 0.000595000473924796)	(6, 0.000622674914572461)	(7, 0.0006365121348962935)	(8, 0.0006558842433496589)	(9, 0.0006724889077382579)	(10, 0.0007676889835662252)	(15, 0.0009459123813371874)	(20, 0.0012791126467350733)	(25, 0.0017540060482490038)	(30, 0.0023700390970660254)	(35, 0.003161528099589242)	(40, 0.004192124269308284)	(45, 0.005446329919460459)	(50, 0.006991117196413116)	(55, 0.008984783900670899)	(60, 0.011818646622991785)	(65, 0.0162000640663301)	(70, 0.0228286460902588)	(75, 0.034205608640513856)	(80, 0.053869959187118656)	(85, 0.08746119524525435)	(90, 0.14487901772340364)	(95, 0.2415569086819563)	(100, 0.3956465337417159)	(105, 0.6369853678313685)	(110, 0.9911855522815156)	(115, 1.4908746991269406)	(120, 2.153446747803514)	(125, 2.997682680712368)	(130, 4.028968497492349)	(135, 5.247890342796378)	(140, 6.056471079863592)
SRR26436343_1 - polya	(1, 0.011415706767161785)	(2, 0.022560204015976453)	(3, 0.02794565016601205)	(4, 0.03772856493496161)	(5, 0.04197659157437817)	(6, 0.04604473434958492)	(7, 0.05203071586167484)	(8, 0.06089760664518669)	(9, 0.0766471308177728)	(10, 0.10098624787858115)	(15, 0.13893676182753706)	(20, 0.17848464449067614)	(25, 0.22706269713714827)	(30, 0.2657676163381595)	(35, 0.29766739058390995)	(40, 0.32947583917552303)	(45, 0.3601850589846109)	(50, 0.39045259472096205)	(55, 0.4246371707865837)	(60, 0.452484853432703)	(65, 0.4850183723692849)	(70, 0.5235887937887485)	(75, 0.5574717184513106)	(80, 0.5856221594781154)	(85, 0.6198692797796006)	(90, 0.652885440961078)	(95, 0.6878199943682513)	(100, 0.7177975019666148)	(105, 0.7478912422156987)	(110, 0.7765680511036221)	(115, 0.8017401688279252)	(120, 0.826796607390321)	(125, 0.8545518574046772)	(130, 0.8860747057688064)	(135, 0.9160931715393286)	(140, 0.930782764635109)
SRR26436343_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001710280432025693)	(4, 0.002191815699295063)	(5, 0.00245472288544788)	(6, 0.0027065602953416307)	(7, 0.002966700037429681)	(8, 0.0033098631014607262)	(9, 0.0038495146940901925)	(10, 0.004870701553989028)	(15, 0.006194646794573319)	(20, 0.007848471367677776)	(25, 0.009876454378338662)	(30, 0.01147493007014779)	(35, 0.013354024590124238)	(40, 0.015736240441075237)	(45, 0.01872618700864895)	(50, 0.02169344053489159)	(55, 0.024832275593149745)	(60, 0.02856832508058451)	(65, 0.03227005826161617)	(70, 0.06102933698266957)	(75, 0.08149126490874008)	(80, 0.08549741693689605)	(85, 0.08964692256760694)	(90, 0.09382465612777842)	(95, 0.09748764509190336)	(100, 0.10165929027513236)	(105, 0.10687149442671358)	(110, 0.11210030324268341)	(115, 0.11797060559286607)	(120, 0.12404514531502853)	(125, 0.13065214127525207)	(130, 0.1383384404207345)	(135, 0.14756620591029193)	(140, 0.15431544849544443)
SRR26436343_2 - illumina_universal_adapter	(1, 0.0004344887181683395)	(2, 0.00044555849442740546)	(3, 0.0004732329350750704)	(4, 0.0005230469282408673)	(5, 0.0005368841485646998)	(6, 0.0005507213688885322)	(7, 0.0005673260332771312)	(8, 0.0005839306976657301)	(9, 0.0006033028061190955)	(10, 0.0006973959043211563)	(15, 0.0008900100112289044)	(20, 0.0012403684298283423)	(25, 0.00181378284004796)	(30, 0.0026063788201970838)	(35, 0.00367295176275809)	(40, 0.0050328737761843444)	(45, 0.006650168087633884)	(50, 0.008579076600776132)	(55, 0.011033245997411057)	(60, 0.014302150926713237)	(65, 0.019169531547824546)	(70, 0.026369314026721057)	(75, 0.03829810492349055)	(80, 0.05853476290268905)	(85, 0.09287376234712466)	(90, 0.15114063666434432)	(95, 0.2486808631934782)	(100, 0.4036073633384231)	(105, 0.6457017096577571)	(110, 1.000672350535535)	(115, 1.5015487308847448)	(120, 2.1644097007216803)	(125, 3.006443855132606)	(130, 4.034726441613503)	(135, 5.247156416630402)	(140, 6.04915395775635)
SRR26436343_2 - polya	(1, 0.010200798822729295)	(2, 0.01564436129812499)	(3, 0.018157200508932964)	(4, 0.023456855892960798)	(5, 0.027430905569965483)	(6, 0.031053489850744822)	(7, 0.0350441441921381)	(8, 0.04433168647349446)	(9, 0.055921742216736535)	(10, 0.07590933023010607)	(15, 0.11266596880952166)	(20, 0.14359658414379087)	(25, 0.17066716849652375)	(30, 0.1953782300396367)	(35, 0.21993929611443935)	(40, 0.24631414502928992)	(45, 0.27337808751626735)	(50, 0.30249879443217925)	(55, 0.3356356161748803)	(60, 0.360824338563572)	(65, 0.3893539194272498)	(70, 0.4208723398808754)	(75, 0.4524527510815517)	(80, 0.48070448056112697)	(85, 0.5210139638308898)	(90, 0.5501601312321975)	(95, 0.5778246090812293)	(100, 0.5999359336699006)	(105, 0.6221075885391839)	(110, 0.6464450451335534)	(115, 0.6704753154367339)	(120, 0.6944004228654531)	(125, 0.7211189883331477)	(130, 0.7481956610628231)	(135, 0.7746042727952638)	(140, 0.7875813715037668)
SRR26436343_2 - polyg	(1, 0.18551838032568665)	(2, 0.18999056993434932)	(3, 0.19025070967643737)	(4, 0.190444430760971)	(5, 0.19078205893687253)	(6, 0.19107817545180253)	(7, 0.1914434780683517)	(8, 0.19205231576260035)	(9, 0.19303475840559245)	(10, 0.19481975982736682)	(15, 0.19702043134766917)	(20, 0.1989493398608114)	(25, 0.20090038792647177)	(30, 0.20285641739144875)	(35, 0.2050017400304557)	(40, 0.20719853712906736)	(45, 0.20958628786814787)	(50, 0.2119707176743507)	(55, 0.21471546869778607)	(60, 0.21780227580762665)	(65, 0.22142264613315418)	(70, 0.22586826827879508)	(75, 0.23069690468299964)	(80, 0.23619304859562593)	(85, 0.24225541156390337)	(90, 0.24960906393280094)	(95, 0.2577486704160922)	(100, 0.2665707286057547)	(105, 0.27718276961650834)	(110, 0.2896467841954037)	(115, 0.30479355905068367)	(120, 0.323349824993756)	(125, 0.3479629190169762)	(130, 0.38406920824117174)	(135, 0.4378666603937935)	(140, 0.48221605850930244)
SRR26436344_1 - illumina_universal_adapter	(1, 0.0014462325524745938)	(2, 0.0016481839449372622)	(3, 0.003919159925985205)	(4, 0.01198809523902589)	(5, 0.01708378489013232)	(6, 0.020245952822434878)	(7, 0.023186625679133217)	(8, 0.025460207484600032)	(9, 0.027411969974336016)	(10, 0.03567243338216387)	(15, 0.04473757537053976)	(20, 0.05069136300278112)	(25, 0.05499201562368935)	(30, 0.058932803892351206)	(35, 0.06192533265498512)	(40, 0.064649722084917)	(45, 0.06758804969963834)	(50, 0.07097588202661533)	(55, 0.0751295661502991)	(60, 0.08045795592201091)	(65, 0.08748977311634007)	(70, 0.09781821878298566)	(75, 0.11373589724567226)	(80, 0.13810426429876446)	(85, 0.1776961181893554)	(90, 0.24069192351561366)	(95, 0.34034776967878866)	(100, 0.492539641950865)	(105, 0.7214876359755011)	(110, 1.054721504990766)	(115, 1.5126716941879512)	(120, 2.117683408541335)	(125, 2.881863308301002)	(130, 3.812643986456905)	(135, 4.898282295265391)	(140, 5.612743846860285)
SRR26436344_1 - polya	(1, 0.012234345646609402)	(2, 0.021673944603977358)	(3, 0.026340976138179154)	(4, 0.03381317765929789)	(5, 0.03779487737133605)	(6, 0.0418508430793121)	(7, 0.04754717525896879)	(8, 0.05689296453725731)	(9, 0.07278328184354572)	(10, 0.09705523339313962)	(15, 0.1358022790071319)	(20, 0.1759004445823099)	(25, 0.23623700608910808)	(30, 0.28518793896252387)	(35, 0.3194740737538472)	(40, 0.35142851685516285)	(45, 0.383800413028382)	(50, 0.4147211255827307)	(55, 0.45177334299468785)	(60, 0.48325561071130385)	(65, 0.5204412463335073)	(70, 0.5689411110000162)	(75, 0.6118332415171099)	(80, 0.647512189460321)	(85, 0.6898544910250327)	(90, 0.7300138934740541)	(95, 0.7737797569187961)	(100, 0.8119665502827307)	(105, 0.8558673954323701)	(110, 0.8927958361844309)	(115, 0.9222096004773453)	(120, 0.951199397137309)	(125, 0.9809985628617748)	(130, 1.0198375940777535)	(135, 1.0605051322884553)	(140, 1.0782875387052873)
