Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR26436344_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.120385466055998e-05)	(4, 0.0001537436407135154)	(5, 0.00021498051455703422)	(6, 0.0002788232128194262)	(7, 0.00035699794538562044)	(8, 0.00048728916632927757)	(9, 0.0008286521652016591)	(10, 0.0014980884584101695)	(15, 0.0029398911093726785)	(20, 0.0036395549658401172)	(25, 0.004398631619057863)	(30, 0.005095168486222655)	(35, 0.006038998090738506)	(40, 0.007220739464697476)	(45, 0.008721433747526519)	(50, 0.010449095337239412)	(55, 0.014011517900280884)	(60, 0.016871931364877933)	(65, 0.01997077776380187)	(70, 0.11100942315620528)	(75, 0.20991948237069877)	(80, 0.23302689098749826)	(85, 0.24769716130087027)	(90, 0.25841491713569553)	(95, 0.2661219034369547)	(100, 0.2726640862229776)	(105, 0.27893317860990263)	(110, 0.2849125033214489)	(115, 0.29080922339891696)	(120, 0.29712235421852096)	(125, 0.3045189868314923)	(130, 0.3132625700865793)	(135, 0.32385342227220537)	(140, 0.3315442524620676)
SRR26436344_2 - illumina_universal_adapter	(1, 0.001430597605961355)	(2, 0.0016182169641202212)	(3, 0.0038527114033039406)	(4, 0.011734027358185758)	(5, 0.01678281216975247)	(6, 0.019898075262515313)	(7, 0.022799660752930554)	(8, 0.02506672799735019)	(9, 0.02700415845278237)	(10, 0.035213808284442205)	(15, 0.04429875453840153)	(20, 0.05031195496739319)	(25, 0.05478850073657536)	(30, 0.05896355262049391)	(35, 0.06225106070734425)	(40, 0.0653397443910346)	(45, 0.06864914140300349)	(50, 0.0724348831187424)	(55, 0.0769742292564194)	(60, 0.08280762780050882)	(65, 0.09055865253444698)	(70, 0.10171705327850367)	(75, 0.11833569850986711)	(80, 0.14339408786907692)	(85, 0.18369264134206625)	(90, 0.2473581435439749)	(95, 0.3467328212523535)	(100, 0.49790633734153433)	(105, 0.7263925792791461)	(110, 1.060368847671348)	(115, 1.517920345732445)	(120, 2.1220856883145793)	(125, 2.888195461638864)	(130, 3.826146847430622)	(135, 4.916691141872521)	(140, 5.628243290503742)
SRR26436344_2 - polya	(1, 0.014510533276495092)	(2, 0.019464205496772934)	(3, 0.021670035867349047)	(4, 0.025709063716602417)	(5, 0.028428241497696544)	(6, 0.030916803817720395)	(7, 0.033692006823820286)	(8, 0.04095183365480086)	(9, 0.050637683019752334)	(10, 0.06626689671926966)	(15, 0.09740728027212936)	(20, 0.12470850270866327)	(25, 0.14838841095028918)	(30, 0.16930171540639746)	(35, 0.1902509802394862)	(40, 0.21322601297580693)	(45, 0.23861899019040003)	(50, 0.26551891566642744)	(55, 0.29554739393975404)	(60, 0.3186524573145765)	(65, 0.3470098203880797)	(70, 0.37727230169422105)	(75, 0.40683902788052323)	(80, 0.4322637961530266)	(85, 0.4685762200124657)	(90, 0.4955001190731469)	(95, 0.5218184245388817)	(100, 0.5423580537733236)	(105, 0.5633031492873422)	(110, 0.5854904413018376)	(115, 0.6076688735133088)	(120, 0.6294152600361308)	(125, 0.6538370464898098)	(130, 0.6792076136144006)	(135, 0.7051788232675417)	(140, 0.7175906255570764)
SRR26436344_2 - polyg	(1, 0.23221022561462343)	(2, 0.23378935521246055)	(3, 0.23401215320027421)	(4, 0.23418153178750095)	(5, 0.23434830455030883)	(6, 0.23447598994683364)	(7, 0.23513917226143685)	(8, 0.23549877603124134)	(9, 0.23652937958890566)	(10, 0.23842694093072908)	(15, 0.24005219362078029)	(20, 0.2409225389766839)	(25, 0.24174910648235043)	(30, 0.24268590036093532)	(35, 0.24387181105396452)	(40, 0.24518618889084412)	(45, 0.24656414884354425)	(50, 0.2482232772510408)	(55, 0.25365277301020484)	(60, 0.2616979953210338)	(65, 0.2687517014404815)	(70, 0.2743135730801244)	(75, 0.2793282215918038)	(80, 0.2896806408431031)	(85, 0.3036077300322124)	(90, 0.3165219352697058)	(95, 0.3277798785065634)	(100, 0.3380150356590134)	(105, 0.34855768009289034)	(110, 0.360039984812213)	(115, 0.3725575835731539)	(120, 0.3875840700845858)	(125, 0.40665219026969013)	(130, 0.43054603669610547)	(135, 0.4621565109741299)	(140, 0.4862781064547548)
SRR26436345_1 - illumina_universal_adapter	(1, 0.00046662204076811396)	(2, 0.00047563889179744954)	(3, 0.0005184689341867934)	(4, 0.0006447048485974908)	(5, 0.0007123312313175073)	(6, 0.0007348733588908462)	(7, 0.0007686865502508544)	(8, 0.000795737103338861)	(9, 0.0008205334436695338)	(10, 0.0009318915538818277)	(15, 0.0011604687274754835)	(20, 0.001490936317700631)	(25, 0.0019417788691674077)	(30, 0.0025900904581766327)	(35, 0.0034457896208605746)	(40, 0.0045039170891531)	(45, 0.005761767807745408)	(50, 0.0072788529934311105)	(55, 0.009054270961107277)	(60, 0.01130983624609556)	(65, 0.01443642934051766)	(70, 0.01905621296539772)	(75, 0.0266015139067457)	(80, 0.03947667549153391)	(85, 0.06215044908990105)	(90, 0.10084175685677983)	(95, 0.1664988593119895)	(100, 0.27328272099710144)	(105, 0.4400263878145373)	(110, 0.6852193636425012)	(115, 1.0310133464047617)	(120, 1.4907099947397946)	(125, 2.0819661063332444)	(130, 2.810066006730854)	(135, 3.6768811433637607)	(140, 4.259021669409105)
SRR26436345_1 - polya	(1, 0.009503760984919655)	(2, 0.020630555155119707)	(3, 0.025504163136475563)	(4, 0.03485689186665385)	(5, 0.03877020521338547)	(6, 0.04251445260331705)	(7, 0.047827632072353014)	(8, 0.0567746025062112)	(9, 0.07277275044500978)	(10, 0.09731571726175818)	(15, 0.13646643358858163)	(20, 0.17810444827184724)	(25, 0.23169835657746032)	(30, 0.27260600632734977)	(35, 0.30474972771927655)	(40, 0.3360841867313205)	(45, 0.366562495738129)	(50, 0.39750787762825707)	(55, 0.43323309224903594)	(60, 0.4620238975857044)	(65, 0.49370866126023794)	(70, 0.5315451715495357)	(75, 0.565757358567592)	(80, 0.5940689182720512)	(85, 0.6291737735420118)	(90, 0.6620135958334034)	(95, 0.6969074567892775)	(100, 0.7256369475389464)	(105, 0.7548474872910302)	(110, 0.7823457270326435)	(115, 0.806907178394002)	(120, 0.8319870986895473)	(125, 0.8597125630770996)	(130, 0.8909270979704533)	(135, 0.9199086097063922)	(140, 0.9344004926807402)
SRR26436345_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004801473173121173)	(4, 0.0006740096144428313)	(5, 0.0008115165926401982)	(6, 0.0010234125918295834)	(7, 0.0011924785486296247)	(8, 0.0014359335264216842)	(9, 0.0020535878219311685)	(10, 0.0031595046006791714)	(15, 0.004932668355598005)	(20, 0.006548037217503466)	(25, 0.00835726837653964)	(30, 0.009702582550116504)	(35, 0.011730923189165531)	(40, 0.013985586789050883)	(45, 0.01667846934896194)	(50, 0.01925819042845484)	(55, 0.022248178229782502)	(60, 0.025694418693194544)	(65, 0.02905319570162203)	(70, 0.04541111599649109)	(75, 0.05771596175367383)	(80, 0.062371361940119774)	(85, 0.06623102502322684)	(90, 0.06995633702599682)	(95, 0.07335839491936513)	(100, 0.07719055660683272)	(105, 0.08176210007870585)	(110, 0.08650857046054806)	(115, 0.09157108147096851)	(120, 0.09707406565417198)	(125, 0.10310273225238571)	(130, 0.11006689714489301)	(135, 0.11802787491869335)	(140, 0.1233550305068248)
SRR26436345_2 - illumina_universal_adapter	(1, 0.00046662204076811396)	(2, 0.00047113046628278175)	(3, 0.0005071978704001239)	(4, 0.0006131458699948165)	(5, 0.000680772252714833)	(6, 0.0007033143802881717)	(7, 0.00073712757164818)	(8, 0.0007619239119788527)	(9, 0.0007822118267948577)	(10, 0.0008895123540439505)	(15, 0.001137926599902145)	(20, 0.0015256511941635726)	(25, 0.0021622408768346615)	(30, 0.0031040509668487583)	(35, 0.00430239046864745)	(40, 0.005782506565112879)	(45, 0.007510135222333568)	(50, 0.009474005376522848)	(55, 0.01179990209953995)	(60, 0.014697918020368392)	(65, 0.01848454461013785)	(70, 0.023810798513166347)	(75, 0.03210630146015504)	(80, 0.04578215941634824)	(85, 0.06931343554760519)	(90, 0.10898712923413009)	(95, 0.17590388577813793)	(100, 0.2841786837809505)	(105, 0.45247189644777774)	(110, 0.6999713827690457)	(115, 1.0478230109362006)	(120, 1.5096214872461713)	(125, 2.1025443637523944)	(130, 2.832261436382115)	(135, 3.699231212010175)	(140, 4.2803825894976)
SRR26436345_2 - polya	(1, 0.010378395534765201)	(2, 0.015506729557699788)	(3, 0.01787139874014303)	(4, 0.023062850720282968)	(5, 0.02673270908922253)	(6, 0.0301568582676127)	(7, 0.03378388659416292)	(8, 0.04234538664651701)	(9, 0.05321069213686633)	(10, 0.0728796001297074)	(15, 0.10846415187442864)	(20, 0.13803040639961986)	(25, 0.1635426847020218)	(30, 0.18698469400808831)	(35, 0.21044203196090475)	(40, 0.23697546864237892)	(45, 0.26376408220798336)	(50, 0.292755061637503)	(55, 0.3259496970168988)	(60, 0.3501590403455618)	(65, 0.3774516958837061)	(70, 0.4072713239228216)	(75, 0.4375981498323373)	(80, 0.46485428712381277)	(85, 0.5057195576738642)	(90, 0.532525754098976)	(95, 0.5580916826650024)	(100, 0.5789553234192304)	(105, 0.5998577366328847)	(110, 0.6226766815328242)	(115, 0.6462724281489407)	(120, 0.6694380709709582)	(125, 0.6958795357719332)	(130, 0.7234057277517373)	(135, 0.7490875228534907)	(140, 0.7616466438097007)
SRR26436345_2 - polyg	(1, 0.12055529826221612)	(2, 0.12394338003648894)	(3, 0.12411019178053165)	(4, 0.12426573246078769)	(5, 0.1245723053957851)	(6, 0.12478194718221715)	(7, 0.12502089373449454)	(8, 0.12554612530695333)	(9, 0.12617730487900683)	(10, 0.12755282550353195)	(15, 0.12917044857819476)	(20, 0.13057256891325641)	(25, 0.13199497716313413)	(30, 0.13352784183812116)	(35, 0.1353073173887605)	(40, 0.13699887864186386)	(45, 0.1388522923709438)	(50, 0.14084321307822106)	(55, 0.14313304239712082)	(60, 0.14566858090656998)	(65, 0.14864729764411097)	(70, 0.15231670517049908)	(75, 0.1565014257332137)	(80, 0.1611969509067402)	(85, 0.16651689301404812)	(90, 0.17266142614798885)	(95, 0.17919278219108806)	(100, 0.18628002710014577)	(105, 0.1949740748626311)	(110, 0.20518115022783895)	(115, 0.2172195480371048)	(120, 0.23134128927669867)	(125, 0.24933892393125237)	(130, 0.2747989044976842)	(135, 0.31154572834008676)	(140, 0.34149519903402475)
SRR26436346_1 - illumina_universal_adapter	(1, 0.00019607968730780105)	(2, 0.00019825835050010996)	(3, 0.00021786631923089006)	(4, 0.0003442287843848063)	(5, 0.0003921593746156021)	(6, 0.0004183033329233089)	(7, 0.0004313753120771623)	(8, 0.00045751927038486915)	(9, 0.00047930590230795813)	(10, 0.0006117686244003393)	(15, 0.0008457570512543152)	(20, 0.0012235372488006786)	(25, 0.0017568739982778976)	(30, 0.0024706040600782934)	(35, 0.003415272420263432)	(40, 0.004500682422671727)	(45, 0.005756899619357039)	(50, 0.007189152801980911)	(55, 0.00892685456416649)	(60, 0.011013142437121492)	(65, 0.013446273490292074)	(70, 0.016548689876139947)	(75, 0.02092300983365776)	(80, 0.027237647230245875)	(85, 0.03672311103692037)	(90, 0.05205479965383656)	(95, 0.07560832742588809)	(100, 0.11199723152910827)	(105, 0.16637971493760767)	(110, 0.24518370553397445)	(115, 0.3550227533047815)	(120, 0.5004825085372007)	(125, 0.6899159659105442)	(130, 0.9283100854720072)	(135, 1.2198788375681535)	(140, 1.4211332856903267)
SRR26436346_1 - polya	(1, 0.01272121437989167)	(2, 0.023749607459359327)	(3, 0.028777962107208267)	(4, 0.039165828208137105)	(5, 0.04319199778752395)	(6, 0.047573289467257154)	(7, 0.053897948714529895)	(8, 0.06277600122318866)	(9, 0.07900922066908228)	(10, 0.10362157875259592)	(15, 0.140667131941978)	(20, 0.1811976747737774)	(25, 0.2339657687567759)	(30, 0.2743677704602291)	(35, 0.306455557689193)	(40, 0.33641174085080194)	(45, 0.36590561168300295)	(50, 0.39427049924894947)	(55, 0.426692929144252)	(60, 0.453912711336321)	(65, 0.48579221836410025)	(70, 0.5240552085453446)	(75, 0.5606598003046032)	(80, 0.5900900541715888)	(85, 0.6246876613980925)	(90, 0.6565288239536872)	(95, 0.689547771831044)	(100, 0.7178407635116442)	(105, 0.7479816973119611)	(110, 0.7751862288616838)	(115, 0.7977820162943964)	(120, 0.8211773731186861)	(125, 0.847777107766224)	(130, 0.8808221996018885)	(135, 0.9102215164515434)	(140, 0.9248555971142822)
SRR26436346_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.003180848260770995)	(4, 0.004126388086233058)	(5, 0.004483688849771718)	(6, 0.004880205550771937)	(7, 0.005265828935810613)	(8, 0.005729884195772409)	(9, 0.006403091122195859)	(10, 0.007764755617388921)	(15, 0.009695922671051531)	(20, 0.011294625721567805)	(25, 0.013249322337707347)	(30, 0.014793123075777435)	(35, 0.016672873678101552)	(40, 0.01902931578690286)	(45, 0.02254698537720481)	(50, 0.029215001943585433)	(55, 0.034807630358242386)	(60, 0.03893663284030621)	(65, 0.04296410961760845)	(70, 0.04960728942359674)	(75, 0.05625700521916197)	(80, 0.06120779945736472)	(85, 0.06575205514388262)	(90, 0.0701973995214697)	(95, 0.07402923234410261)	(100, 0.07835300731555885)	(105, 0.08364585167495409)	(110, 0.08913826158276483)	(115, 0.09514614320187585)	(120, 0.10169215462948715)	(125, 0.1090874089694605)	(130, 0.11788746533583461)	(135, 0.12808970933277875)	(140, 0.1352187310306519)
SRR26436346_2 - illumina_universal_adapter	(1, 0.00019825835050010996)	(2, 0.00019825835050010996)	(3, 0.00022440230880781676)	(4, 0.00029847685734631937)	(5, 0.0003529434371540419)	(6, 0.0003747300690771309)	(7, 0.0003856233850386754)	(8, 0.00041394600653869114)	(9, 0.00043355397526947123)	(10, 0.0005546876487618462)	(15, 0.0007912904714465928)	(20, 0.0012026220821545132)	(25, 0.0019098161543779821)	(30, 0.0029486027644708658)	(35, 0.0043359754853331735)	(40, 0.005918556428226359)	(45, 0.007688938138296572)	(50, 0.009657142466228433)	(55, 0.012040599998614369)	(60, 0.014823624360469759)	(65, 0.017962206555309966)	(70, 0.021831512384850572)	(75, 0.027023702504761143)	(80, 0.03415010980680356)	(85, 0.044446472053655414)	(90, 0.06073154368352599)	(95, 0.0851447719512626)	(100, 0.12233760277244476)	(105, 0.1775575643120677)	(110, 0.2571755034770811)	(115, 0.3677313314381578)	(120, 0.5135170146841463)	(125, 0.7026763962278973)	(130, 0.9404291173455446)	(135, 1.2305054851549593)	(140, 1.4303642816361395)
SRR26436346_2 - polya	(1, 0.010557801829928933)	(2, 0.01579312948104722)	(3, 0.018141728402356217)	(4, 0.022980539352474284)	(5, 0.02649908040805316)	(6, 0.029893437661670425)	(7, 0.033161432450133775)	(8, 0.041706149490369285)	(9, 0.052664825347683054)	(10, 0.07078302418756234)	(15, 0.10376275612745753)	(20, 0.13161783650640377)	(25, 0.1564650544820483)	(30, 0.17899983934537617)	(35, 0.20217471545460444)	(40, 0.22712128047181826)	(45, 0.25278724007513254)	(50, 0.2805216225132248)	(55, 0.31175711670135753)	(60, 0.33582568045207084)	(65, 0.3625905577695857)	(70, 0.3918957563693327)	(75, 0.42157263490968766)	(80, 0.44787084257140997)	(85, 0.4872994175605395)	(90, 0.5142568887042545)	(95, 0.5407381040741306)	(100, 0.5619927064456578)	(105, 0.5832974180706081)	(110, 0.6062980011244516)	(115, 0.6293600224803183)	(120, 0.6525401273812081)	(125, 0.6790413864524536)	(130, 0.7055234732876067)	(135, 0.7314683017795364)	(140, 0.7443075997044513)
SRR26436346_2 - polyg	(1, 0.1159288471259489)	(2, 0.11956067866752784)	(3, 0.11980904627145106)	(4, 0.11999423264279732)	(5, 0.12028617351056671)	(6, 0.12056068507279763)	(7, 0.12101166835360558)	(8, 0.12171101923833673)	(9, 0.12265002307422188)	(10, 0.12460689835355372)	(15, 0.12700734945883968)	(20, 0.1292016990261332)	(25, 0.13129583008658052)	(30, 0.13356774006352023)	(35, 0.13596819116880618)	(40, 0.1383472913748075)	(45, 0.14086844042094737)	(50, 0.1433325084914487)	(55, 0.1461534415928503)	(60, 0.149337775714729)	(65, 0.1528101291106309)	(70, 0.1571125531828025)	(75, 0.161701689331082)	(80, 0.166734837037954)	(85, 0.17225731249781856)	(90, 0.17860462984229136)	(95, 0.18508963870051803)	(100, 0.19222345345741432)	(105, 0.200515445567342)	(110, 0.21014775127317806)	(115, 0.22079967135301476)	(120, 0.2319674988767902)	(125, 0.24443990992012016)	(130, 0.2585733337812665)	(135, 0.27370545684976716)	(140, 0.283916851232119)
SRR26436347_1 - illumina_universal_adapter	(1, 0.0004042425888100568)	(2, 0.00040893217800738925)	(3, 0.00043706971319138393)	(4, 0.000559936950161494)	(5, 0.0005974536637401535)	(6, 0.0006218395275662822)	(7, 0.0006396599665161455)	(8, 0.0006659216660212072)	(9, 0.00068655585848947)	(10, 0.00079179024007761)	(15, 0.001000195584007064)	(20, 0.0013295923292276951)	(25, 0.001813745517960297)	(30, 0.002503677880671846)	(35, 0.003394887411732904)	(40, 0.0045005049608960014)	(45, 0.005901566629491042)	(50, 0.007590006324098617)	(55, 0.00964592222820916)	(60, 0.012255772408308614)	(65, 0.01584537156351476)	(70, 0.021000730759926263)	(75, 0.028832719886607232)	(80, 0.041494610719404836)	(85, 0.06257975408488309)	(90, 0.09764681385042409)	(95, 0.15490332144563115)	(100, 0.2449860155043259)	(105, 0.3822401617975803)	(110, 0.5809421829270496)	(115, 0.8576461411757496)	(120, 1.2226854525482183)	(125, 1.6881393733153764)	(130, 2.257884317907739)	(135, 2.934927626085772)	(140, 3.3895225216911555)
SRR26436347_1 - polya	(1, 0.01101678294237338)	(2, 0.024517172323654024)	(3, 0.03015781021020549)	(4, 0.04151880899966307)	(5, 0.045658778343068154)	(6, 0.050208617782320095)	(7, 0.05643920598989598)	(8, 0.06609319431152455)	(9, 0.08378138684602307)	(10, 0.11042125482395766)	(15, 0.15382190217672628)	(20, 0.19943584804706796)	(25, 0.25753385552784436)	(30, 0.301890803909733)	(35, 0.3379464290780717)	(40, 0.3730583213163392)	(45, 0.4067592099569133)	(50, 0.4406859492132309)	(55, 0.4793872530231367)	(60, 0.5099671262611022)	(65, 0.5466277084358966)	(70, 0.5898940459540537)	(75, 0.6278853459594833)	(80, 0.6588418870017783)	(85, 0.6980905596627968)	(90, 0.7352045313211895)	(95, 0.7738465587236408)	(100, 0.8066633660087339)	(105, 0.8398101327897513)	(110, 0.871201492542423)	(115, 0.8988089165635511)	(120, 0.9270241113446536)	(125, 0.9583008575373426)	(130, 0.9939165992389716)	(135, 1.0264559704271503)	(140, 1.0426241733110095)
SRR26436347_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006115224313321509)	(4, 0.0008244297808910439)	(5, 0.0009866895671187465)	(6, 0.0011517631068648487)	(7, 0.001286823275748023)	(8, 0.001503482296664782)	(9, 0.001940552009856166)	(10, 0.0027413462611926543)	(15, 0.004177673640551636)	(20, 0.005008481262751052)	(25, 0.005761441704274749)	(30, 0.006625826785127066)	(35, 0.00804695989548669)	(40, 0.0094377044678476)	(45, 0.011237006051080111)	(50, 0.012948706108106455)	(55, 0.01493521609209648)	(60, 0.01745783991312555)	(65, 0.019809012353100144)	(70, 0.035501503308781865)	(75, 0.04660138577173197)	(80, 0.04965618417487434)	(85, 0.052230018309938266)	(90, 0.05505390134100398)	(95, 0.05771983900790352)	(100, 0.06084591916684534)	(105, 0.06463754582467256)	(110, 0.06873249511178325)	(115, 0.07320880179242102)	(120, 0.07819027102139543)	(125, 0.08377538417185047)	(130, 0.0906122424708575)	(135, 0.09850763484348642)	(140, 0.10402821924658617)
SRR26436347_2 - illumina_universal_adapter	(1, 0.0004042425888100568)	(2, 0.00040611842448898977)	(3, 0.0004305042883151185)	(4, 0.0005027239619540382)	(5, 0.0005383648398537647)	(6, 0.0005646265393588264)	(7, 0.0005805711426297567)	(8, 0.0006040190886164189)	(9, 0.0006246532810846818)	(10, 0.0007244477392039162)	(15, 0.0009397936751454221)	(20, 0.0013108339724383653)	(25, 0.0019604358680528552)	(30, 0.002959130783516773)	(35, 0.00423995138509221)	(40, 0.0058479177290735596)	(45, 0.007700117878451982)	(50, 0.009929548582863826)	(55, 0.01268383811024112)	(60, 0.01604120880839536)	(65, 0.0203334960089298)	(70, 0.02628908670597412)	(75, 0.034893920132375474)	(80, 0.04836260789068215)	(85, 0.07024198008262061)	(90, 0.10610026733753553)	(95, 0.16410954779069842)	(100, 0.25480470219856477)	(105, 0.39252743224441666)	(110, 0.5917072287213102)	(115, 0.8682810039738923)	(120, 1.232458368851891)	(125, 1.6959751141134152)	(130, 2.261289709999274)	(135, 2.931760840292598)	(140, 3.3817274865273497)
SRR26436347_2 - polya	(1, 0.010401508839683363)	(2, 0.01591646573574632)	(3, 0.0183128458155832)	(4, 0.023707749228194443)	(5, 0.027380635487545216)	(6, 0.030890324042828817)	(7, 0.034249007825958314)	(8, 0.04296038871892306)	(9, 0.054191954846534274)	(10, 0.07362017255681103)	(15, 0.10932651712173236)	(20, 0.1392232110054304)	(25, 0.16492047155470113)	(30, 0.18795442060702286)	(35, 0.21150722580813747)	(40, 0.2371035663978816)	(45, 0.264450436843206)	(50, 0.29323926217492624)	(55, 0.32736446484607495)	(60, 0.351719940134205)	(65, 0.3796145545977778)	(70, 0.40956527254902914)	(75, 0.4396035920264866)	(80, 0.46706582636606536)	(85, 0.5083882353701442)	(90, 0.5363965254758604)	(95, 0.5628563132286174)	(100, 0.5838953110363938)	(105, 0.6051192662421132)	(110, 0.6282183067924938)	(115, 0.6516458061702558)	(120, 0.6748701525439891)	(125, 0.7011635536720248)	(130, 0.7281812149556963)	(135, 0.7539176804706569)	(140, 0.7664542654801018)
SRR26436347_2 - polyg	(1, 0.13036870385016305)	(2, 0.13324623578164624)	(3, 0.133420688499787)	(4, 0.13357356910762005)	(5, 0.1336954984267507)	(6, 0.13385963404865733)	(7, 0.13410536852259755)	(8, 0.13457338952449133)	(9, 0.13512207146057922)	(10, 0.13622206150270552)	(15, 0.1376249990069795)	(20, 0.13897728894792227)	(25, 0.14038566637566516)	(30, 0.1418790191596637)	(35, 0.14348135799660824)	(40, 0.14516060609638906)	(45, 0.1469844811270156)	(50, 0.1490364577762004)	(55, 0.15142702276543257)	(60, 0.15399485422632392)	(65, 0.15689489618595429)	(70, 0.1604404132027055)	(75, 0.16472557222766002)	(80, 0.16965883247968586)	(85, 0.17514977867905845)	(90, 0.18150604787712282)	(95, 0.1880997978721402)	(100, 0.19526549016566414)	(105, 0.2033529681118158)	(110, 0.21305141373903505)	(115, 0.22416855389023138)	(120, 0.2368467644934357)	(125, 0.2523708054051493)	(130, 0.272401916702635)	(135, 0.29795267448538115)	(140, 0.31721319248596125)
SRR26436348_1 - illumina_universal_adapter	(1, 0.00033846760324245155)	(2, 0.0003479220055676597)	(3, 0.0003951940171937004)	(4, 0.0006220996729986959)	(5, 0.0006863896088101113)	(6, 0.0007317707399711104)	(7, 0.0007847153929922759)	(8, 0.0008376600460134416)	(9, 0.0008830411771744407)	(10, 0.0010396060796798875)	(15, 0.00133042349520329)	(20, 0.0017906638003944227)	(25, 0.0024233524039973513)	(30, 0.0032247075450819937)	(35, 0.004247673876669515)	(40, 0.005562213975966456)	(45, 0.007087398159069033)	(50, 0.008990380259086928)	(55, 0.011356628073040023)	(60, 0.014530660021658901)	(65, 0.01888119779562668)	(70, 0.025579452754990146)	(75, 0.035918030785651756)	(80, 0.05322034339296868)	(85, 0.0823414152589818)	(90, 0.1316748647680109)	(95, 0.21312907891279514)	(100, 0.3397099117079839)	(105, 0.5314584270264604)	(110, 0.805341873457136)	(115, 1.1818244939209706)	(120, 1.6736447719348562)	(125, 2.2970604977372213)	(130, 3.0534149528104306)	(135, 3.943647526569518)	(140, 4.538324894711994)
SRR26436348_1 - polya	(1, 0.007194800169483398)	(2, 0.019058184207154577)	(3, 0.0245190469901948)	(4, 0.03473169238188464)	(5, 0.03883112123009489)	(6, 0.04280386108714735)	(7, 0.04841977606832099)	(8, 0.0571821161433239)	(9, 0.07335481676082495)	(10, 0.09763523463633149)	(15, 0.13569903657371246)	(20, 0.17704502882231277)	(25, 0.22867173815934433)	(30, 0.2687648330118081)	(35, 0.30036484916749073)	(40, 0.330856431194566)	(45, 0.36055497795460284)	(50, 0.388723424242328)	(55, 0.4207507793831101)	(60, 0.4476413686525601)	(65, 0.47879400249021387)	(70, 0.515316358672493)	(75, 0.5474023311076914)	(80, 0.5740849235259867)	(85, 0.6065093635644276)	(90, 0.6389277527853804)	(95, 0.6722681353210873)	(100, 0.7018959631517315)	(105, 0.7304471236455813)	(110, 0.7564784968317163)	(115, 0.779494293852203)	(120, 0.8026674121273812)	(125, 0.8275695514997935)	(130, 0.8568237413505454)	(135, 0.8846011535581001)	(140, 0.8990172262235774)
SRR26436348_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0009265314278703982)	(4, 0.0012706716725079746)	(5, 0.0014124877073860968)	(6, 0.0016185936780756343)	(7, 0.001792554680859464)	(8, 0.0020345873803847927)	(9, 0.0024675990068793257)	(10, 0.0033007209397766676)	(15, 0.004434114690522619)	(20, 0.005901059755301916)	(25, 0.007535915005376907)	(30, 0.00876876906858405)	(35, 0.01029962589308175)	(40, 0.012083860699895033)	(45, 0.014236439021298425)	(50, 0.016294095143356724)	(55, 0.018793082765955742)	(60, 0.021556793653660585)	(65, 0.024432066488802886)	(70, 0.047312476467992616)	(75, 0.062230388808892034)	(80, 0.06599210640604586)	(85, 0.06933026677903034)	(90, 0.07273347344001227)	(95, 0.07617185047764398)	(100, 0.0800473990787933)	(105, 0.08462938062168217)	(110, 0.08952638285004696)	(115, 0.09474634746184091)	(120, 0.10052714721956617)	(125, 0.10727305236664868)	(130, 0.11518147082363879)	(135, 0.12449405711396881)	(140, 0.13101532566180438)
SRR26436348_2 - illumina_universal_adapter	(1, 0.00035170376649774297)	(2, 0.0003611581688229511)	(3, 0.00040086665858882534)	(4, 0.0005767185418376968)	(5, 0.0006410084776491122)	(6, 0.0006844987283450697)	(7, 0.0007317707399711104)	(8, 0.0007828245125272343)	(9, 0.000814969480432942)	(10, 0.0009643490371712308)	(15, 0.0012615954462757747)	(20, 0.001767595058720915)	(25, 0.0025980697589671983)	(30, 0.003727681748783067)	(35, 0.005174205304539913)	(40, 0.007020839166699567)	(45, 0.009067528182060627)	(50, 0.011549497880474269)	(55, 0.014625582221003991)	(60, 0.01852684679647788)	(65, 0.02356906864455789)	(70, 0.031087209373563407)	(75, 0.04237311851721087)	(80, 0.06063524204858293)	(85, 0.09068360169465245)	(90, 0.1411867498593563)	(95, 0.22394642787720534)	(100, 0.3521848064880496)	(105, 0.5459841707589101)	(110, 0.8223616885229758)	(115, 1.2013115298175967)	(120, 1.6955899524360365)	(125, 2.320850043044003)	(130, 3.07829288891289)	(135, 3.9685939125448124)	(140, 4.562045990145942)
