"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"VCAN",798.83372,683.493737,770.87462,780.81646,536.923071,835.508111,689.861424,961.211392
"VCL",4.142914,5.633587,8.352516,3.577508,3.79333,5.558811,4.025498,4.567536
"VCP",40.05867,26.207963,23.191724,27.39822,24.647647,32.855417,32.551677,31.272245
"VCPIP1",0.614007,0.809483,0.784368,1.450565,1.265837,0.645778,0.928277,0.847657
"VCPKMT",6.165383,9.353673,6.015121,6.570635,4.717673,6.066335,5.842355,6.90191
"VCX",0,0,0.09181,0,0,0,0.040124,0
"VCX2",0,0,0,0,0,0,0,0
"VCX3A",0,0,0,0,0,0,0,0
"VCX3B",0,0,0,0.052455,0,0,0,0
"VCY",0,0,0,0,0,0,0,0
"VCY1B",0,0,0,0,0,0,0,0
"VDAC1",21.921593,21.760784,18.652805,19.892493,16.402955,22.855555,19.358765,19.925023
"VDAC2",65.093654,58.142421,57.778448,68.743168,55.754465,55.800367,65.855591,73.708416
"VDAC3",100.302015,86.944049,85.809139,65.961281,72.34884,85.324238,83.433996,79.087742
"VDR",13.374817,16.054888,13.453969,28.533359,32.932176,18.053571,26.230377,21.458376
"VEGFA",20.250001,23.106443,17.310531,10.027752,14.379602,18.556763,12.281259,17.873822
"VEGFB",0.921052,1.104286,1.640125,1.038611,1.167519,1.835988,0.924876,1.896072
"VEGFC",0.054217,0,0,0.058652,0.038401,0,0.016281,0.017073
"VEGFD",0.060066,0.017781,0,0.012989,0,0,0.009015,0
"VENTX",21.908702,29.364806,31.517734,10.214491,8.835478,36.660878,16.189052,22.784645
"VEPH1",1.582107,0.682761,0.208415,0.624343,0.733976,0.06685,0.047062,0.224867
"VEZF1",28.465013,26.390459,24.237669,30.232438,24.890712,25.092444,20.744884,23.27499
"VEZT",14.802928,17.630525,15.086482,16.662095,13.757846,17.984448,14.486186,19.292449
"VGF",0.024384,0,0,0,0,0,0.102553,0.030737
"VGLL1",0,0,0,0,0,0,0,0
"VGLL2",0,0,0,0,0,0,0,0
"VGLL3",0,0.006217,0.004501,0,0.007443,0,0,0
"VGLL4",10.795084,13.484947,10.632887,13.853345,13.017234,11.085038,7.412385,9.725619
"VHL",41.948223,41.622871,40.63873,34.54437,27.488596,42.521945,32.972061,40.867968
"VHLL",0,0,0,0,0,0.188614,0.041122,0
"VIL1",0.561823,0.18503,0,0.153798,0,0.009341,0.027326,0.359545
"VILL",2.607295,1.693809,0.114514,2.574517,5.153788,3.21262,12.9057,2.053625
"VIM",2060.177974,2354.853826,1725.210807,1472.51184,1409.312616,1942.279292,2096.233964,1778.49124
"VIMP",25.874661,24.121779,21.936742,23.861758,27.031276,26.668556,28.015141,24.193834
"VIP",0,0,0,0.062334,0,0,0,0.034812
"VIPAS39",8.013526,7.404026,7.513391,8.22429,8.603969,7.050694,5.547912,6.203675
"VIPR1",17.791105,15.123177,26.222814,5.685213,7.432174,18.914671,7.506738,11.117561
"VIPR2",0,0,0,0,0.042404,0,0,0
"VIT",0,0,0,0.128991,0.035197,0,0,0
"VKORC1",68.720897,62.181568,57.31236,58.027834,65.060088,67.948856,56.152015,68.776421
"VKORC1L1",1.530378,1.171846,0.572988,0.632844,1.412886,0.737116,0.114236,0.806414
"VLDLR",0.023703,0,0,0,0,0,0,0
"VMA21",10.617052,7.779741,8.155832,10.029162,9.1595,9.95661,7.778703,9.014846
"VMAC",7.321721,7.370318,6.634808,7.79048,6.398244,5.672207,6.652823,7.301933
"VMO1",1.93191,2.757807,2.011546,0.558696,0.342499,1.05515,0.778366,3.104756
"VMP1",65.258639,49.015223,46.546626,144.139785,122.242312,76.139863,84.628563,88.516678
"VN1R1",0.181215,0.16875,0.0441,0.033614,0.073369,0.154753,0.101078,0.097857
"VN1R2",0,0,0,0,0,0,0,0
"VN1R4",0,0,0,0,0,0,0,0
"VN1R5",0,0,0,0,0,0,0,0
"VNN1",0,0,0.032806,0,0.012966,0,0,0
"VNN2",276.635123,413.923189,402.822215,373.591296,219.555078,325.922352,321.616755,383.317256
"VOPP1",27.354579,39.359258,49.164077,36.587568,40.515891,41.10311,50.016255,43.966896
"VPREB1",0,0,0,0,0,0,0,0
"VPREB3",0,2.696167,1.997657,0.488171,0,0,0.057316,0.235045
"VPS11",30.945601,28.555683,26.027302,28.474706,28.535682,29.05857,21.956355,22.335864
"VPS13A",1.377423,1.491257,1.318498,2.729143,2.092672,1.065309,1.526054,1.823855
"VPS13B",6.448044,4.647484,5.78892,7.14619,5.3353,6.593649,5.451026,6.377684
"VPS13C",2.297358,2.658138,2.027497,3.05551,2.026482,1.623416,3.165965,3.114279
"VPS13D",10.695355,10.589807,10.255663,11.821183,11.581338,11.65042,9.732783,11.101758
"VPS16",28.024995,23.586256,26.051433,29.884975,29.005012,26.587309,27.766775,23.306804
"VPS18",16.330711,16.406125,16.887298,21.483057,18.899865,19.08018,17.265283,14.959465
"VPS25",55.711202,52.659555,50.945,57.956355,47.287127,60.985463,66.488604,58.108687
"VPS26A",7.764165,3.185081,6.820521,4.409957,2.623586,8.543684,7.972702,6.664603
"VPS26B",35.429169,30.841424,29.342694,25.702532,24.510348,29.837243,29.082722,30.649875
"VPS28",5.478919,3.096078,3.854557,4.303621,4.730002,7.040218,4.575628,5.083926
"VPS29",145.770926,148.265431,131.028069,150.59072,173.632491,140.000686,147.904966,157.630771
"VPS33A",13.478686,11.53015,13.37083,14.811475,16.258944,15.100266,13.498182,11.214755
"VPS33B",10.993864,9.327967,5.276722,11.023154,9.994832,11.28586,6.414944,8.685456
"VPS35",0.164477,0.240989,0.170802,0.211235,0.093931,0.208201,0.48966,0.421071
"VPS36",23.486589,22.060042,21.757966,20.090389,17.868459,23.25419,17.98306,21.336906
"VPS37A",6.407166,6.697291,3.277494,8.290213,6.285318,4.709637,5.631884,4.197883
"VPS37B",12.211276,14.808013,11.338375,14.024724,10.529927,14.270063,13.240913,14.442021
